Qwick sort 3-way:
Random: 
N Comps Swaps Time
1 0 0 0 
2 1.56 0.56 0 
3 4.62 1.64 0 
4 8.16 3.34 0 
5 12.76 5.06 0 
10 47.79 22.83 0.01 
15 104.3 52.98 0.01 
20 183.73 95.22 0.03 
25 283.68 149.01 0.04 
30 412.09 214.94 0.05 
50 1160.81 629.98 0.16 
75 2597.4 1397.64 0.37 
100 4714.38 2469.72 0.62 
250 29743 15488.5 4.1 
500 120509 62658.9 14.53 

Best: 
N Comps Swaps Time
1 0 0 0 
2 1 0 0 
3 2 0 0 
4 3 0 0 
5 4 0 0 
10 9 0 0 
15 14 0 0 
20 19 0 0 
25 24 0 0 
30 29 0 0 
50 49 0 0 
75 74 0 0 
100 99 0 0 
250 249 0 0 
500 499 0 0 

Worst: 
N Comps Swaps Time
1 0 0 0 
2 2 1 0 
3 6 3 0 
4 9 6 0 
5 16 10 0 
10 54 45 0 
15 126 105 0 
20 209 190 0 
25 336 300 0 
30 464 435 0 
50 1274 1225 0 
75 2886 2775 1 
100 5049 4950 1 
250 31374 31125 5 
500 125249 124750 22 

Selection sort:
Random: 
N Comps Swaps Time
1 0 0 0 
2 2 0.44 0 
3 5 1.22 0 
4 9 1.85 0 
5 14 2.74 0 
10 54 7.19 0 
15 119 11.63 0.01 
20 209 16.33 0.01 
25 324 21.22 0.01 
30 464 26.08 0 
50 1274 45.64 0.01 
75 2849 70.18 0.04 
100 5049 94.68 0.04 
250 31374 243.74 0.19 
500 125249 493.07 0.67 

Best: 
N Comps Swaps Time
1 0 0 0 
2 2 0 0 
3 5 0 0 
4 9 0 0 
5 14 0 0 
10 54 0 0 
15 119 0 0 
20 209 0 0 
25 324 0 0 
30 464 0 0 
50 1274 0 0 
75 2849 0 0 
100 5049 0 0 
250 31374 0 0 
500 125249 0 1 

Worst: 
N Comps Swaps Time
1 0 0 0 
2 2 0 0 
3 5 0 0 
4 9 0 0 
5 14 3 0 
10 54 5 0 
15 119 9 0 
20 209 10 0 
25 324 17 0 
30 464 19 0 
50 1274 29 0 
75 2849 57 1 
100 5049 83 0 
250 31374 199 0 
500 125249 405 1 

Merge sort:
Random: 
N Comps Swaps Time
1 1 0 0 
2 7 2 0 
3 15 5 0 
4 23 8 0 
5 33 12 0.01 
10 87 34 0.03 
15 147 59 0.02 
20 215 88 0.02 
25 285 118 0.04 
30 355 148 0.04 
50 671 286 0.08 
75 1093 472 0.11 
100 1543 672 0.14 
250 4487 1994 0.34 
500 9975 4488 0.71 

Best: 
N Comps Swaps Time
1 1 0 0 
2 7 2 0 
3 15 5 0 
4 23 8 0 
5 33 12 0 
10 87 34 0 
15 147 59 0 
20 215 88 0 
25 285 118 1 
30 355 148 0 
50 671 286 0 
75 1093 472 0 
100 1543 672 0 
250 4487 1994 0 
500 9975 4488 1 

Worst: 
N Comps Swaps Time
1 1 0 0 
2 7 2 0 
3 15 5 0 
4 23 8 0 
5 33 12 0 
10 87 34 0 
15 147 59 0 
20 215 88 0 
25 285 118 0 
30 355 148 0 
50 671 286 1 
75 1093 472 0 
100 1543 672 0 
250 4487 1994 1 
500 9975 4488 1 

